metric	comparison_group	pair_count_per_case	n_cases_total	n_cases_defined	mean_rho	median_rho	median_case_bootstrap_ci_low	median_case_bootstrap_ci_high	q1_rho	q3_rho	rho_ge_0_5_rate	rho_ge_0_7_rate	negative_rho_rate	median_difference_from_physician_internal	difference_bootstrap_ci_low	difference_bootstrap_ci_high	n_cases_for_difference
dynamic_reprioritization	GPT-5.5	3	120	48	0.5135254196349788	0.5234602930262217	0.4682383571333184	0.577824650344894	0.4270617977207439	0.6758042932365981	0.5208333333333334	0.10416666666666667	0.020833333333333332	0.22625732580127195	0.16866158133961923	0.30020763875918277	48
dynamic_reprioritization	GPT-5.6-Sol	3	120	48	0.49491371070210377	0.556464526253915	0.4919119610878033	0.5937448886204224	0.39984100995501687	0.6324986225880327	0.625	0.125	0.020833333333333332	0.22767935040583218	0.1285064488943165	0.29171768423131106	48
dynamic_reprioritization	DeepSeek-V4-Pro	3	120	47	0.13880375411997217	0.1975459193299179	0.08930543165283615	0.2298846248556652	-0.019658885441609632	0.2752776027171704	0.0851063829787234	0.02127659574468085	0.2978723404255319	-0.10976147316446389	-0.23797013530569316	0.04287864043470985	47
dynamic_reprioritization	GLM-5	3	120	46	0.1866593699522472	0.2327973018901966	0.08722298358527744	0.31332404142622516	-0.029890937177541356	0.3785422152053717	0.13043478260869565	0.0	0.2608695652173913	-0.04215290836950332	-0.20437119262055747	0.058003250202402545	46
execution_loop_repair	Physician title strata	3	120	42	0.16940098013952756	0.18435992329554393	0.04764917589683079	0.27507670739467854	-0.03681050869161552	0.43334536564868537	0.21428571428571427	0.0	0.2619047619047619				
execution_loop_repair	GPT-5.5	3	120	41	0.41208901122706476	0.3952512706120301	0.3123300740619312	0.5383630039342737	0.2051136817715314	0.6510340662936398	0.3902439024390244	0.17073170731707318	0.024390243902439025	0.2793722259745298	0.17849466176500506	0.38134134138339193	41
execution_loop_repair	GPT-5.6-Sol	3	120	42	0.3846744266789319	0.4249097048563948	0.307786486574847	0.4869966378695917	0.22568632191551383	0.5361089831434387	0.2857142857142857	0.07142857142857142	0.047619047619047616	0.16860345854540942	0.07201876822444275	0.3611065043881537	42
execution_loop_repair	DeepSeek-V4-Pro	3	120	41	0.14721675827681993	0.15214515486254615	0.031128640318234518	0.248850568624199	-0.01985927705603684	0.34213906383017145	0.07317073170731707	0.0	0.2926829268292683	0.026349639503242567	-0.16320742723446915	0.1799814967643869	41
execution_loop_repair	GLM-5	3	120	41	0.09821823427857507	0.08901186991859077	-0.08224002166750723	0.20761369963434995	-0.1111111111111111	0.31503893562042146	0.04878048780487805	0.024390243902439025	0.36585365853658536	-0.0818863574643815	-0.21511504908738246	0.19364506049940128	41
state_sensitive_communication	Physician title strata	3	120	38	0.2273379002252076	0.2493145347559252	0.13293705188584304	0.3831305140884606	-0.008222453568640924	0.47192829999183905	0.18421052631578946	0.07894736842105263	0.2631578947368421				
state_sensitive_communication	GPT-5.5	3	120	31	0.487715156634147	0.5226990393278772	0.4204374825912608	0.5739586511676511	0.3817929055634941	0.6514593458265738	0.5483870967741935	0.1935483870967742	0.03225806451612903	0.1920689930047827	0.09518276176079066	0.27807394427153864	31
state_sensitive_communication	GPT-5.6-Sol	3	120	38	0.40979949074448524	0.4204328655431616	0.3105649968749708	0.5628706971658171	0.2309598487753288	0.6598757602129732	0.42105263157894735	0.15789473684210525	0.10526315789473684	0.18260252813964353	0.06644426196729031	0.3017600254877103	38
state_sensitive_communication	DeepSeek-V4-Pro	3	120	38	0.15970348227560469	0.15855011419447912	0.06215697420832378	0.25958055129941876	-0.057552562233189275	0.3472145427717553	0.10526315789473684	0.07894736842105263	0.2631578947368421	-0.050001763287460955	-0.1974076981862009	0.0631694551724219	38
state_sensitive_communication	GLM-5	3	120	34	0.1810607993464155	0.2341166307465033	0.06085806194501846	0.2967532696486181	-0.04152273992686999	0.36710949602840703	0.11764705882352941	0.08823529411764706	0.2647058823529412	-0.04479416774653597	-0.1865614786621127	0.17065966891722384	34
bounded_closure_continuity	Physician title strata	3	120	52	0.3491040916185365	0.3821644203688237	0.2311666340785326	0.45925976528946966	0.18210787542510232	0.5753934053946065	0.3269230769230769	0.1346153846153846	0.11538461538461539				
bounded_closure_continuity	GPT-5.5	3	120	49	0.5279921829353089	0.5360362742715155	0.4969418673368095	0.619575474315636	0.3774199245641313	0.6831060264388443	0.6326530612244898	0.20408163265306123	0.0	0.13216097757351725	0.08816367657998625	0.23445485623779572	49
bounded_closure_continuity	GPT-5.6-Sol	3	120	52	0.4964012632995077	0.539210988169972	0.47279250472398926	0.6181236488202402	0.3350364135076702	0.6684502326870418	0.5576923076923077	0.23076923076923078	0.019230769230769232	0.10658697307872483	0.057199635466221796	0.17435034553320122	52
bounded_closure_continuity	DeepSeek-V4-Pro	3	120	51	0.10770686317749312	0.023384039292618775	0.0	0.21432292492162133	-0.04551328130679569	0.32274153026941177	0.058823529411764705	0.0	0.35294117647058826	-0.17096398411356425	-0.34115020604417	-0.06548678038877048	51
bounded_closure_continuity	GLM-5	3	120	51	0.21355522616588773	0.2619113609135918	0.17407765595569782	0.3280321318402155	0.07897556444506837	0.35822037994724265	0.09803921568627451	0.0	0.19607843137254902	-0.09132067845797676	-0.27910411803063784	-0.03387438676671109	51
