metric	comparison	n_cases_total	n_cases_defined	mean_rho	median_rho	median_case_bootstrap_ci_low	median_case_bootstrap_ci_high	median_panel_cluster_bootstrap_ci_low	median_panel_cluster_bootstrap_ci_high	q1_rho	q3_rho	rho_ge_0_5_rate	rho_ge_0_7_rate	negative_rho_rate	top1_overlap_rate	mean_tie_aware_top3_overlap_fraction
constraint_navigation	Four-judge median	120	88	0.5436793746561814	0.5791688398506017	0.4998725465122363	0.6450131957420511	0.49974509302447256	0.6462712014270691	0.37251210098890264	0.7515924399555182	0.6022727272727273	0.3068181818181818	0.03409090909090909	0.9101123595505618	0.45529774643939974
dynamic_reprioritization	GPT-5.5	120	48	0.5403278700813833	0.5932628302315359	0.5065130635832151	0.6634338948881556	0.5111043545379566	0.6686416192806188	0.37965150661887953	0.7230890873795979	0.6666666666666666	0.2916666666666667	0.041666666666666664	0.7916666666666666	0.5850680665784832
dynamic_reprioritization	GPT-5.6-Sol	120	48	0.566955110787222	0.6419314245037566	0.5046368843962634	0.7241440610019796	0.5046368843962634	0.7298751186012472	0.42457789970399745	0.7834321960137474	0.6458333333333334	0.4166666666666667	0.08333333333333333	0.7083333333333334	0.608366402116402
dynamic_reprioritization	DeepSeek-V4-Pro	120	47	0.18047219884885263	0.18932061141568826	0.09082487681884432	0.365655170486763	0.021539379212035633	0.36594698721567487	-0.0642000083128233	0.41638547427992967	0.1702127659574468	0.0851063829787234	0.3404255319148936	0.4583333333333333	0.36982197971781305
dynamic_reprioritization	GLM-5	120	46	0.2087576847222973	0.20517522522374415	0.09044312632922692	0.3136946981271953	0.09044312632922692	0.3308285189863409	-0.004751500919431355	0.4289841255539515	0.21739130434782608	0.08695652173913043	0.2608695652173913	0.6458333333333334	0.37779844576719573
dynamic_reprioritization	Four-judge median	120	48	0.4570164596470536	0.5384934357130813	0.37426130267530777	0.6622157863095897	0.37426130267530777	0.6564911374796382	0.2841248384622406	0.73298712990864	0.5625	0.2708333333333333	0.14583333333333334	0.5833333333333334	0.5186342592592592
execution_loop_repair	GPT-5.5	120	41	0.45315373321508634	0.49147318718299043	0.3755795861635509	0.6133548144755749	0.3755795861635509	0.6133548144755749	0.22029210714392897	0.6722214816785518	0.4634146341463415	0.21951219512195122	0.0975609756097561	0.7857142857142857	0.4743764172335601
execution_loop_repair	GPT-5.6-Sol	120	42	0.42927125871386335	0.46576735983709305	0.3567473003170887	0.5972588971161426	0.3421678769011613	0.5997302651038681	0.27314383753599875	0.6729334350496292	0.42857142857142855	0.19047619047619047	0.07142857142857142	0.6428571428571429	0.47695987654320987
execution_loop_repair	DeepSeek-V4-Pro	120	41	0.14003263142122213	0.1753246753246753	0.040000189350456926	0.2500462406366666	0.028565210108658815	0.2539324923799946	-0.059375	0.32026143790849665	0.14634146341463414	0.04878048780487805	0.3170731707317073	0.5714285714285714	0.324412320483749
execution_loop_repair	GLM-5	120	41	0.15501535429510385	0.14569287935358963	0.07191949522280763	0.27061808336856996	0.07191949522280763	0.27061808336856996	-0.08578737336678038	0.45625874568138713	0.1951219512195122	0.024390243902439025	0.3170731707317073	0.7142857142857143	0.32261904761904764
execution_loop_repair	Four-judge median	120	42	0.4287400321620944	0.46980940367641194	0.32724964490417724	0.5463379331468042	0.2997575698701276	0.5401646231677443	0.2137397225042116	0.6625302570493912	0.4523809523809524	0.16666666666666666	0.07142857142857142	0.5714285714285714	0.45672949735449736
state_sensitive_communication	GPT-5.5	120	31	0.5639164918773354	0.6388019572230638	0.5124322448437016	0.7453559924999299	0.5060886689340871	0.7453559924999299	0.4772140345641839	0.7878893827511433	0.6774193548387096	0.3548387096774194	0.0967741935483871	1.0	0.4425257588415483
state_sensitive_communication	GPT-5.6-Sol	120	38	0.4131787168512726	0.49267719370231033	0.2530864197530865	0.6309744493742931	0.18793554065652526	0.6127555276542502	0.14822002377752266	0.7299862731388403	0.4473684210526316	0.2631578947368421	0.21052631578947367	0.9210526315789473	0.4370273774714564
state_sensitive_communication	DeepSeek-V4-Pro	120	38	0.1804838869249595	0.1679610721909689	0.08145095017518811	0.321662575882153	0.07259717215323003	0.321662575882153	-0.031036840146529437	0.40394959132709035	0.15789473684210525	0.05263157894736842	0.2631578947368421	0.8947368421052632	0.341984947487767
state_sensitive_communication	GLM-5	120	34	0.1938767862629005	0.18464623473891667	-0.04215595365181448	0.4448906490300243	-0.04747099342831762	0.4448906490300243	-0.16162101719932462	0.5148120321400159	0.2647058823529412	0.14705882352941177	0.35294117647058826	0.9736842105263158	0.34687584536738675
state_sensitive_communication	Four-judge median	120	38	0.4281265205555803	0.5190074814194364	0.3883177246538708	0.6515469378897589	0.3872754243410913	0.6515469378897589	0.18299989059091554	0.7337287213347281	0.5263157894736842	0.2631578947368421	0.15789473684210525	0.9473684210526315	0.43769362642717907
bounded_closure_continuity	GPT-5.5	120	49	0.5757206410781887	0.6338167389745972	0.5785300076028639	0.671836847849396	0.5785300076028639	0.6723240188244193	0.4702418984549442	0.7059669422259633	0.6938775510204082	0.2857142857142857	0.02040816326530612	0.9423076923076923	0.5144154456654456
bounded_closure_continuity	GPT-5.6-Sol	120	52	0.6187516106643094	0.7143568941947971	0.5644596696086609	0.7541666004926337	0.559944308066116	0.7528826589427107	0.44650908278964924	0.8021787476447244	0.6923076923076923	0.5192307692307693	0.0	0.7692307692307693	0.6049068986568986
bounded_closure_continuity	DeepSeek-V4-Pro	120	51	0.14112434714125033	0.08326710257494462	-0.01258758186748935	0.23920802801903726	-0.021728536487424593	0.23920802801903726	-0.12027095282261546	0.42990040024491616	0.19607843137254902	0.0196078431372549	0.37254901960784315	0.5	0.35668498168498175
bounded_closure_continuity	GLM-5	120	51	0.29646271404807156	0.339161723734601	0.263823541230135	0.4086655090607009	0.26650724612960885	0.4086655090607009	0.10454254894405349	0.4977575113647086	0.23529411764705882	0.0392156862745098	0.13725490196078433	0.75	0.35936355311355317
bounded_closure_continuity	Four-judge median	120	52	0.5594749693288191	0.6121212121212121	0.49461612688270506	0.6440857706601495	0.4892229584437448	0.6440857706601495	0.4296857802050744	0.7377048884477287	0.6346153846153846	0.3076923076923077	0.019230769230769232	0.7307692307692307	0.5346993284493284
