case_id,n_models,mean_fcc,median_fcc,cross_model_fcc_sd,cross_model_fcc_range,mean_crwr,median_crwr,cross_model_crwr_sd,cross_model_crwr_range,mean_fcc_minus_crwr,mean_fcc_judge_sd,mean_crwr_judge_sd,mean_turns,max_turns,mean_workspace_turns,closed_success_n,open_at_100_n,runtime_error_n,responsibility_chain_requirement_count,high_order_test_point_count,expected_evidence_channel_count,expected_turn_budget_category,expected_closure_within_100,handoff_is_transition_only,required_receipt_count,blocking_residual_risk_count,premature_closure_trap_count,responsibility_chain_burden_score,responsibility_chain_burden_level,evidence_integration_burden_score,evidence_integration_burden_level,friction_burden_score,friction_burden_level,temporal_burden_score,temporal_burden_level,closure_coordination_burden_score,closure_coordination_burden_level,contract_complexity_index,contract_complexity_level,disease_domain,target_problem,starting_phase,secondary_frictions,tool_dependency,high_order_capability_domains
case_CL120_EHR_023,10,0.7884134615,0.7764423077,0.1668107743,0.5942307692,0.4346875,0.4804447115,0.1504980318,0.5131490385,0.3537259615,0.1576581095,0.2631574298,14.4,27,2.4,10,0,0,8,4,7,medium,maybe,True,2,5,5,2,high,2,high,0,low,1,moderate,1,moderate,6,moderate,respiratory,pulmonary_embolism,longitudinal_followup,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_024,10,0.6450595238,0.6357142857,0.1356191396,0.3989880952,0.4583502976,0.450297619,0.2335904676,0.597077381,0.1867092262,0.1668098921,0.2441277512,7.1,13,2.7,10,0,0,7,4,7,medium,maybe,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate,respiratory,home_oxygen_or_inhaler_execution,longitudinal_followup,incomplete_patient_information | medication_confusion_or_execution_failure,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_025,10,0.8686339286,0.8700892857,0.09327017046,0.2496071429,0.6916933929,0.7295758929,0.221742667,0.7330098214,0.1769405357,0.1851014604,0.2457159569,70.2,100,11,6,3,1,8,4,8,medium,yes,True,2,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high,respiratory,asthma_copd_exacerbation,discharge_transition,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_026,10,0.83125,0.83125,0.1133800455,0.4583333333,0.5193958333,0.5021875,0.2168199067,0.6454166667,0.3118541667,0.2047020695,0.2188439804,67.3,100,6.5,5,5,0,8,4,7,medium,maybe,False,2,6,6,2,high,2,high,1,moderate,1,moderate,2,high,8,high,respiratory,pneumonia,palliative_terminal,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_027,10,0.6804446429,0.6921875,0.09544871254,0.3080357143,0.4688810714,0.5155709821,0.2115027152,0.6426116071,0.2115635714,0.210114504,0.2363507036,4.8,9,1.8,10,0,0,7,4,7,medium,yes,False,3,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate,endocrine_metabolic,diabetes_sick_day,pre_handoff,document_or_image_quality_problem | delayed_or_staged_result_return,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_028,10,0.5177083333,0.5610119048,0.2600328549,0.7339285714,0.3115282738,0.3375074405,0.1876928114,0.581875,0.2061800595,0.2407612593,0.269202894,40.7,100,9.6,9,1,0,7,4,5,medium,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate,endocrine_metabolic,hypoglycemia,post_handoff,delayed_or_staged_result_return | low_adherence_or_refusal,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_029,10,0.81401,0.8265,0.1402197341,0.3816666667,0.7257756667,0.823125,0.2179210438,0.5509541667,0.08823433333,0.1356201789,0.2673436831,36,100,8.5,9,1,0,8,4,7,medium,maybe,True,2,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high,endocrine_metabolic,thyroid_dysfunction,post_handoff,low_adherence_or_refusal | external_system_gap,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_030,10,0.6780357143,0.6678571429,0.1457213978,0.4303571429,0.4403125,0.3542410714,0.2273761621,0.6971428571,0.2377232143,0.1909298942,0.2213220153,61.7,100,9.6,5,5,0,7,4,5,medium,maybe,True,2,6,5,1,moderate,0,low,1,moderate,1,moderate,2,high,5,moderate,endocrine_metabolic,steroid_or_insulin_adjustment,post_handoff,external_system_gap | misstated_family_or_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_031,10,0.7545,0.77625,0.1455193783,0.5341666667,0.5408514881,0.5089270833,0.2298663648,0.7470357143,0.2136485119,0.1589454133,0.2888014676,10.1,31,4.1,10,0,0,7,4,7,medium,yes,True,2,4,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate,endocrine_metabolic,obesity_sleep_apnea_metabolic_risk,result_return,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_032,10,0.7270833333,0.7666666667,0.2173327102,0.6375,0.4632916667,0.5011458333,0.2681961476,0.873125,0.2637916667,0.213737408,0.2788359362,52.5,100,5.6,8,2,0,6,4,5,medium,yes,True,2,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low,endocrine_metabolic,diabetes_sick_day,result_return,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,HO1 | HO2 | HO3 | HO4
