case_id,n_models,mean_fcc,median_fcc,cross_model_fcc_sd,cross_model_fcc_range,mean_crwr,median_crwr,cross_model_crwr_sd,cross_model_crwr_range,mean_fcc_minus_crwr,mean_fcc_judge_sd,mean_crwr_judge_sd,mean_turns,max_turns,mean_workspace_turns,closed_success_n,open_at_100_n,runtime_error_n,responsibility_chain_requirement_count,high_order_test_point_count,expected_evidence_channel_count,expected_turn_budget_category,expected_closure_within_100,handoff_is_transition_only,required_receipt_count,blocking_residual_risk_count,premature_closure_trap_count,responsibility_chain_burden_score,responsibility_chain_burden_level,evidence_integration_burden_score,evidence_integration_burden_level,friction_burden_score,friction_burden_level,temporal_burden_score,temporal_burden_level,closure_coordination_burden_score,closure_coordination_burden_level,contract_complexity_index,contract_complexity_level,disease_domain,target_problem,starting_phase,secondary_frictions,tool_dependency,high_order_capability_domains
case_CL120_EHR_106,10,0.93625,0.94375,0.06763181574,0.24,0.83965,0.88625,0.1660100976,0.5075,0.0966,0.1742424792,0.2324098334,22.9,42,4.9,10,0,0,8,4,5,medium,maybe,True,2,5,5,2,high,0,low,0,low,1,moderate,1,moderate,4,moderate,musculoskeletal_geriatrics,osteoporosis,post_handoff,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_107,10,0.6809839286,0.6784553571,0.1197484551,0.3793392857,0.5918426786,0.5865758929,0.1680050957,0.5519607143,0.08914125,0.152000613,0.2162040938,11.3,19,3.9,9,0,1,7,4,5,medium,yes,True,2,5,5,1,moderate,0,low,0,low,1,moderate,1,moderate,3,low,musculoskeletal_geriatrics,polypharmacy,result_return,document_or_image_quality_problem | delayed_or_staged_result_return,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_108,10,0.6252083333,0.6428571429,0.1674007563,0.6291666667,0.5028214286,0.5018973214,0.1927108659,0.7379464286,0.1223869048,0.1904259519,0.2534131599,9.2,29,4.3,10,0,0,6,4,5,medium,yes,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low,musculoskeletal_geriatrics,frailty_caregiver_execution,result_return,delayed_or_staged_result_return | low_adherence_or_refusal,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_109,10,0.8010730769,0.7732884615,0.1463493846,0.4560192308,0.6991605769,0.6692692308,0.1972995411,0.5920144231,0.1019125,0.1809392724,0.1929887582,8,17,3.4,9,0,1,7,4,5,medium,yes,False,2,5,5,1,moderate,0,low,0,low,1,moderate,0,low,2,low,musculoskeletal_geriatrics,fracture_fall_prevention,home_execution_failure,low_adherence_or_refusal | external_system_gap,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_110,10,0.77125,0.8758928571,0.1930347231,0.6321428571,0.5606339286,0.6111607143,0.1800741966,0.613125,0.2106160714,0.199502023,0.2627567602,13.2,32,5.4,10,0,0,9,4,5,medium,yes,False,2,5,6,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate,musculoskeletal_geriatrics,osteoporosis,home_execution_failure,external_system_gap | misstated_family_or_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_111,10,0.57741,0.6019375,0.1505474278,0.465,0.348292375,0.347303125,0.1584953868,0.483825,0.229117625,0.186953788,0.1939709351,12.5,23,3,10,0,0,7,4,5,medium,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate,musculoskeletal_geriatrics,polypharmacy,longitudinal_followup,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_112,10,0.76375,0.7416666667,0.08379144911,0.2791666667,0.6841666667,0.6604166667,0.09859120495,0.35625,0.07958333333,0.1534811921,0.2018599861,9.6,13,3.6,10,0,0,6,4,5,medium,yes,True,2,4,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low,musculoskeletal_geriatrics,frailty_caregiver_execution,discharge_transition,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_113,10,0.8225519231,0.8912980769,0.1775458527,0.5686923077,0.7130730769,0.8266466346,0.261247761,0.8256730769,0.1094788462,0.191237705,0.243893071,15.7,29,5.1,10,0,0,7,4,5,medium,maybe,True,3,5,6,1,moderate,0,low,1,moderate,1,moderate,2,high,5,moderate,mental_health_somatic,anxiety_depression_somatic_red_flag_and_followup,longitudinal_followup,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_114,10,0.8364204545,0.8292613636,0.06878025724,0.1852272727,0.6425198864,0.6589488636,0.1330994621,0.5282102273,0.1939005682,0.1956815227,0.1947679346,8.9,19,2.4,10,0,0,6,4,5,medium,yes,False,3,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low,mental_health_somatic,depression_adherence,pre_handoff,incomplete_patient_information | medication_confusion_or_execution_failure,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_115,10,0.8636910714,0.8633214286,0.08289389389,0.2548214286,0.7312741071,0.7117522321,0.1355364382,0.4577142857,0.1324169643,0.1485116449,0.2398406894,15.2,32,5,10,0,0,6,4,5,medium,yes,False,3,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low,mental_health_somatic,stigma_hidden_history,pre_handoff,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_116,10,0.78825,0.875,0.1817795712,0.5525,0.5468875,0.645,0.2302620074,0.642375,0.2413625,0.1760504375,0.2177452636,17.3,32,4.1,10,0,0,7,4,5,medium,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate,mental_health_somatic,anxiety_somatic_red_flag,post_handoff,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_117,10,0.7061267857,0.7859107143,0.2035498658,0.5794642857,0.4807163393,0.5722116071,0.2689661416,0.7172732143,0.2254104464,0.2903626633,0.3001885473,15.7,33,4.3,10,0,0,6,4,5,medium,maybe,True,2,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low,mental_health_somatic,depression_adherence,post_handoff,document_or_image_quality_problem | delayed_or_staged_result_return,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_118,10,0.5814583333,0.5608630952,0.1569100035,0.5511904762,0.5344122024,0.5078497024,0.1781993745,0.6189732143,0.04704613095,0.2283256427,0.2434308584,19.6,39,2.7,10,0,0,7,4,5,long,maybe,True,2,5,5,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate,dermatology_ent_ophthalmology,rash_drug_reaction,result_return,delayed_or_staged_result_return | low_adherence_or_refusal,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_119,10,0.9341326923,0.9456442308,0.06830987493,0.2059615385,0.8009384615,0.8423461538,0.1472989865,0.5096153846,0.1331942308,0.1863260597,0.2239262164,24.5,35,6.3,5,0,5,6,4,5,long,maybe,True,2,5,5,0,low,0,low,2,high,2,high,1,moderate,5,moderate,dermatology_ent_ophthalmology,vision_red_flag,result_return,low_adherence_or_refusal | external_system_gap,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_120,10,0.5430357143,0.5446428571,0.1406491192,0.5017857143,0.4206696429,0.4066964286,0.1532459188,0.5127678571,0.1223660714,0.1991669123,0.2215638464,13.2,43,4.8,9,0,1,7,4,5,long,maybe,False,2,5,5,1,moderate,0,low,2,high,2,high,0,low,5,moderate,dermatology_ent_ophthalmology,otitis_sinus_complication,home_execution_failure,external_system_gap | misstated_family_or_patient_information,high,HO1 | HO2 | HO3 | HO4
