case_id,file,sha256,legacy_declared_sha256,archive_member_sha256
case_CL120_EHR_036,case_CL120_EHR_036.json,b38271ba289c2027a090cbe679d1a61137db327bfdb28d3818b2c96825ee90da,4d1dcf74adff98633f8ec5351df69c2f6c9d724fe2429fb0e1ce6a7e4b7fc26b,b38271ba289c2027a090cbe679d1a61137db327bfdb28d3818b2c96825ee90da
case_CL120_EHR_037,case_CL120_EHR_037.json,10b3ef991eab4c7d5aa864ff9fb41b632edd0aa9179e5858178546eddbaf6e8c,843558c137a19c6b1dbb21c95b0f56e1607f3d5e76f1e8c1ce96c662cf47e7e6,10b3ef991eab4c7d5aa864ff9fb41b632edd0aa9179e5858178546eddbaf6e8c
case_CL120_EHR_038,case_CL120_EHR_038.json,ef236f3bb749499e8b019dd21cd8c6c78f9136f0de453c8bedb2620681c9327b,1434c08c00675c76bd9f4d3fd6c93ad5aedfd06d4aac1fdba1125abb47aa779d,ef236f3bb749499e8b019dd21cd8c6c78f9136f0de453c8bedb2620681c9327b
case_CL120_EHR_039,case_CL120_EHR_039.json,09ca25dde137a0b84bfe74badb9b3ab2583ec462f028f1cff6b9d3fea81d20d4,6c3fec9d19498f91049937be470508f08dfce42982069b75957cf7d25d8e44b4,09ca25dde137a0b84bfe74badb9b3ab2583ec462f028f1cff6b9d3fea81d20d4
case_CL120_EHR_040,case_CL120_EHR_040.json,7d72c9a48d6d8c77d6b96ddc40aeb0e0b103a67b1133655ee4953cac109b1312,53d313f747a72d4ca78d72baa62e98498f9f7a9720325696932e842b06e8caca,7d72c9a48d6d8c77d6b96ddc40aeb0e0b103a67b1133655ee4953cac109b1312
case_CL120_EHR_041,case_CL120_EHR_041.json,1a8f6b728151e4c1f659c51c8f70eb076cec314cd380dce462b3bc694ef5960b,8f7c8de0cb1d49105ae3022294b8fae95cf3ff81d4c87a200a171037674ce5ef,1a8f6b728151e4c1f659c51c8f70eb076cec314cd380dce462b3bc694ef5960b
case_CL120_EHR_042,case_CL120_EHR_042.json,d02939dac69d7d6d3574a96aa73d304f8dd209c8e7c12c56188750a0b333bb33,28559d576da2170d90f71bc40e9337a337a1008e2d3d725f22c252e2a3908953,d02939dac69d7d6d3574a96aa73d304f8dd209c8e7c12c56188750a0b333bb33
case_CL120_EHR_043,case_CL120_EHR_043.json,a7889a53739cf44e9455799b90a6cde70a230744ca0411a852055f5a8b164f10,942cb8bfdf32029afcae94562b7954ae55d7859978b163d61fb60ee76e8bf4a0,a7889a53739cf44e9455799b90a6cde70a230744ca0411a852055f5a8b164f10
case_CL120_EHR_044,case_CL120_EHR_044.json,567c141786cbe1a957d0331fe12f42eaa955d0085858dd9bc45809871bad9608,8a7ef9eb397ec44b9e9f42a2e756d8ebcf3e276236d3e04d50d1e3256f8c39f8,567c141786cbe1a957d0331fe12f42eaa955d0085858dd9bc45809871bad9608
case_CL120_EHR_045,case_CL120_EHR_045.json,fd52b0505d21f7bcb20b9f02d2b0d67e116bb4ab35c3773fb683672b97501534,466be3bcf92864d672e2433e4b78e34c6105538738096c59f2b41d93678e75f9,fd52b0505d21f7bcb20b9f02d2b0d67e116bb4ab35c3773fb683672b97501534
case_CL120_EHR_046,case_CL120_EHR_046.json,1f6e227ad8edac61fde8de692b9d65e69a5b400841aa22bb8e69fa7197676534,b143b657e6c8f25b20443ba613a4aa3f68539199244818c52cf6946924eada9c,1f6e227ad8edac61fde8de692b9d65e69a5b400841aa22bb8e69fa7197676534
case_CL120_EHR_047,case_CL120_EHR_047.json,cb9f53d2cf8ee8477987b897a2280540d7364a747f137ce778fece3b0ae6e7eb,4828037c23a87720d14a0fe02e54c437ff443621baad6d73f06ea6027e22d247,cb9f53d2cf8ee8477987b897a2280540d7364a747f137ce778fece3b0ae6e7eb
case_CL120_EHR_048,case_CL120_EHR_048.json,17b2e809f5a4fabc41e69d80e14349cdecbdb01a18a927d57710ee67bcfaa76f,ffe798220b532ec4243f438456b102c59c2fc95ac308dceaae3fedd59cf6ac0d,17b2e809f5a4fabc41e69d80e14349cdecbdb01a18a927d57710ee67bcfaa76f
case_CL120_EHR_049,case_CL120_EHR_049.json,cc72bccb0c904c8c9e7a6f87407797d9f7556c9bfa6cd07f9e7b1d48f804ed3b,d164299244686bcfa0ccdad645fee4cf353fe23c9731f102a450ac7d969fb85f,cc72bccb0c904c8c9e7a6f87407797d9f7556c9bfa6cd07f9e7b1d48f804ed3b
case_CL120_EHR_050,case_CL120_EHR_050.json,31db05a43f2cd56ef2e63cf71560dde0f4e6b62de34f4f3b508cabe61325b7aa,a8fb05715dc1f563bf803bd7c9af7507cb511965c8659bd748d97f6f398438c4,31db05a43f2cd56ef2e63cf71560dde0f4e6b62de34f4f3b508cabe61325b7aa
case_CL120_EHR_051,case_CL120_EHR_051.json,732f2acec11efe0d7952b94a775d68d2dc2648447fef344b830991ff49bea60b,8f6e42df2669916f4b05302456e31ba0050c0215997f3312e9c1cbefc9769145,732f2acec11efe0d7952b94a775d68d2dc2648447fef344b830991ff49bea60b
case_CL120_EHR_052,case_CL120_EHR_052.json,d076be2fd8bbb752db6981da138a5b6175ece4f2dd507e3192b3fd9204f14e42,ee9f413d9fad9660ee486d6d10446ac524f4d0d66bffc65b40f51eb4ff5b155c,d076be2fd8bbb752db6981da138a5b6175ece4f2dd507e3192b3fd9204f14e42
case_CL120_EHR_053,case_CL120_EHR_053.json,be94dfba2a022e311db7e91ebbb2066094c555d6b3ff054c9d431152324e560d,f0362918a8c3d3094f544f24e839d121a8fe2b66c07ac8239b0af27d83ddd452,be94dfba2a022e311db7e91ebbb2066094c555d6b3ff054c9d431152324e560d
case_CL120_EHR_054,case_CL120_EHR_054.json,1d82946f4d13f83502cc310c078a330540984c3cbd3afa5c9649ea07decb49d0,956508081f677ed244a4e27632e3e0a2298568a82bea57aa296d062484663371,1d82946f4d13f83502cc310c078a330540984c3cbd3afa5c9649ea07decb49d0
case_CL120_EHR_055,case_CL120_EHR_055.json,9518beda70cf8934624de52646506dabdc484c5b963980f9e812355fa1ee43a3,d19b05f123a6d6794ea55a5d10815be77ec156affbdaa52e7360580562100540,9518beda70cf8934624de52646506dabdc484c5b963980f9e812355fa1ee43a3
case_CL120_EHR_056,case_CL120_EHR_056.json,4707eaf721c26074395bad7a7817ae95d698e9e2e0894542f6a800d7f0ab1ee4,bfd8786f8f743fafb43267c376eb39e09de93dc5e0f6ba2a56dce7ec40c6c7b9,4707eaf721c26074395bad7a7817ae95d698e9e2e0894542f6a800d7f0ab1ee4
case_CL120_EHR_057,case_CL120_EHR_057.json,817e23cc5e43cf276a72baa9fc11c50e5a3021de453c5da5bfee58ce1cd80d1a,242908ea154fad3ae766dd0a8f124e3f6492e3fd1990e0643cceb8b9eea21d2a,817e23cc5e43cf276a72baa9fc11c50e5a3021de453c5da5bfee58ce1cd80d1a
case_CL120_EHR_058,case_CL120_EHR_058.json,c6badcfeea21d2efea5e07c4dc8e9be00f6127ddf85a33e65c75908f21477d26,84559360ee2e5cc44c1a6fcdefc20504fa6b2940b8ed873266917fb945ab96af,c6badcfeea21d2efea5e07c4dc8e9be00f6127ddf85a33e65c75908f21477d26
case_CL120_EHR_059,case_CL120_EHR_059.json,8a4d2280e0838c7e4bc198a3a2f3efe61fac9048ce4e7e688c53f2a43f7ccc5a,ce25982b7a356de3c771e48e690faf35bd4b8cd60e687b2b7b2ecfae28750c68,8a4d2280e0838c7e4bc198a3a2f3efe61fac9048ce4e7e688c53f2a43f7ccc5a
case_CL120_EHR_060,case_CL120_EHR_060.json,348dfef604f78a3aac72cac5ea5846a72669bb4057a68890ae46251b349195f6,ac4bca73dcbc9b36191b742cbbce007d12130dfe393f53951c92770e4b5d7d1c,348dfef604f78a3aac72cac5ea5846a72669bb4057a68890ae46251b349195f6
case_CL120_EHR_061,case_CL120_EHR_061.json,eb3cdecdb23df29c765779cb5f9c4e3c02fd31f0914d96a201da570a57a184c5,e65feba9baf4fc0afa22c2c614468ae6091b62a2f26498d3f068cdee365e5b65,eb3cdecdb23df29c765779cb5f9c4e3c02fd31f0914d96a201da570a57a184c5
