doctor_model,primary_friction,n_cases,friction_capability_mean,friction_capability_ci95_low,friction_capability_ci95_high,robustness_mean,robustness_ci95_low,robustness_ci95_high
DeepSeek-V4-Pro,external_system_gap,12,0.804626488095238,0.7240227430555556,0.8815315476190477,0.5847567460317461,0.45620535094246034,0.7094973542906744
Doubao-Seed-2.0-lite,external_system_gap,12,0.5932114448051946,0.4972142778228715,0.6874838913690475,0.4129054721320346,0.3133857416238276,0.5110480325013528
GLM-5,external_system_gap,12,0.7310147456709957,0.6396515929383116,0.8224042410714284,0.6416353152056277,0.5413160246437589,0.748347522941468
GPT-5.4,external_system_gap,12,0.8135056367243866,0.7574876691017316,0.8652955278228716,0.6881109983766235,0.620694835914953,0.7579299262152775
GPT-5.6 Sol,external_system_gap,12,0.8009970238095238,0.7067859871031746,0.8843993303571429,0.7407097763347763,0.6128206557765152,0.8519277095734127
Kimi K2,external_system_gap,12,0.7009542297979797,0.6108267496392495,0.7895792748917748,0.5244510732323232,0.4103939298115079,0.6318020861516955
MiniMax M3,external_system_gap,12,0.7815772727272727,0.7022478896103898,0.8509495535714282,0.6170725897366522,0.5361031513798702,0.70082640625
Qwen3-30B-A3B-Instruct-2507,external_system_gap,12,0.5925106872294371,0.5080868416305916,0.684799420544733,0.3855500293109668,0.29112016183035716,0.48947913211354616
Qwen3.8-Max,external_system_gap,12,0.7527390873015872,0.6719541294642858,0.8288105406746031,0.5746309749278499,0.5115954894931458,0.6234964818384741
DeepSeek-V3.2,incomplete_patient_information,12,0.6912207702020202,0.6333404761904763,0.7505941411886723,0.5188445251623377,0.416552582544192,0.617750015850469
DeepSeek-V4-Pro,incomplete_patient_information,12,0.7591143488455988,0.6821758394209957,0.8339349206349206,0.6286722601010101,0.5268172963564214,0.735299090232684
Doubao-Seed-2.0-lite,incomplete_patient_information,12,0.5228394660894661,0.4541826907467532,0.6002928289592352,0.3370008139430014,0.2575935923971862,0.430075078125
GLM-5,incomplete_patient_information,12,0.7366962481962482,0.6829820535714287,0.7943311178751806,0.5743286142676768,0.4761648270089286,0.6793697715435606
GPT-5.4,incomplete_patient_information,12,0.731848079004329,0.6248015275523088,0.8334563120039683,0.6517928391053393,0.5366748224431819,0.7698778177985209
GPT-5.6 Sol,incomplete_patient_information,12,0.7657761093073594,0.6669388020833334,0.8538827504960318,0.6723437229437229,0.5331988050144301,0.7997485927917568
Kimi K2,incomplete_patient_information,12,0.6515255140692641,0.5302043213383838,0.7666326424963924,0.4289004577020203,0.3365306664862915,0.5351599225514069
MiniMax M3,incomplete_patient_information,12,0.7580983766233768,0.6474796469155846,0.8531668695887447,0.6587603503787879,0.5188904775094697,0.7893350868055555
Qwen3-30B-A3B-Instruct-2507,incomplete_patient_information,12,0.6107786525974027,0.5241758304022366,0.6891838041125542,0.4092124751984127,0.32540835937499996,0.49544859188988094
Qwen3.8-Max,incomplete_patient_information,12,0.6880061056998557,0.590439816017316,0.7800680235389612,0.5254924896284271,0.4208752086715368,0.6362387569895384
DeepSeek-V3.2,low_adherence_or_refusal,12,0.8667666083916085,0.8181062390734264,0.917710606060606,0.6713965010683761,0.5531615184294871,0.7759240451388888
DeepSeek-V4-Pro,low_adherence_or_refusal,12,0.8785908605283606,0.8361484192890443,0.9177575271950271,0.6994199956293704,0.604081133996212,0.7968090544871792
Doubao-Seed-2.0-lite,low_adherence_or_refusal,12,0.8120813908313907,0.7640697601010101,0.8602171231546232,0.5492638403263402,0.4261968276515152,0.675722694493007
GLM-5,low_adherence_or_refusal,12,0.8790394327894328,0.8213371212121211,0.9320268065268063,0.7332493444055945,0.6028046474358975,0.849640726981352
GPT-5.4,low_adherence_or_refusal,12,0.8990491452991453,0.8605977564102565,0.9379166666666665,0.7877991452991453,0.680780048076923,0.8820861378205126
GPT-5.6 Sol,low_adherence_or_refusal,12,0.8847435897435898,0.8479142628205127,0.9222435897435898,0.8382852564102564,0.7747904647435898,0.8984947916666667
Kimi K2,low_adherence_or_refusal,12,0.8240532731157729,0.7398756373834499,0.9007326449592075,0.6168166278166277,0.4471414542055166,0.7835824422105673
MiniMax M3,low_adherence_or_refusal,12,0.8347150835275836,0.7187108221639471,0.9129337606837609,0.6519236863830614,0.5124071854360917,0.7733455729166668
Qwen3-30B-A3B-Instruct-2507,low_adherence_or_refusal,12,0.766563714063714,0.6497329059829061,0.8731830322455322,0.605015102952603,0.4273590514520203,0.7756993978243979
Qwen3.8-Max,low_adherence_or_refusal,12,0.8459911616161616,0.789026515151515,0.9010307765151514,0.6506646877428127,0.5567765758547009,0.7281404671717172
DeepSeek-V3.2,medication_confusion_or_execution_failure,12,0.7521092171717171,0.6837064393939395,0.8215536616161615,0.5648149305555555,0.4397414322916667,0.6837392621527778
DeepSeek-V4-Pro,medication_confusion_or_execution_failure,12,0.8115467171717173,0.7358522727272728,0.8733544823232324,0.641177398989899,0.5102069523358586,0.7641521859217173
Doubao-Seed-2.0-lite,medication_confusion_or_execution_failure,12,0.7326704545454547,0.6434027777777779,0.8188517992424242,0.550301452020202,0.43471101641414145,0.6640419823232323
GLM-5,medication_confusion_or_execution_failure,12,0.7584223484848485,0.6769141414141414,0.8382899147727273,0.6099632891414141,0.4800013841540403,0.7372380784406564
GPT-5.4,medication_confusion_or_execution_failure,12,0.7712752525252525,0.6699810606060607,0.8614607007575756,0.6545178345959596,0.541007417929293,0.7527686434659091
GPT-5.6 Sol,medication_confusion_or_execution_failure,12,0.8862058080808081,0.8277777777777778,0.9429016729797981,0.8323342803030304,0.739996922348485,0.9216233428030304
