strategy,doctor_model,score,rank,kendall_tau_b_vs_primary,spearman_rho_vs_primary
closed_success_only,Qwen3.8-Max,3.128440366972477,6.0,0.8090398349558905,0.9057792600832962
non_runtime_error,DeepSeek-V3.2,2.903361344537815,7.0,0.9438798074485389,0.9787279253249039
non_runtime_error,DeepSeek-V4-Pro,3.097457627118644,4.0,0.9438798074485389,0.9787279253249039
non_runtime_error,Doubao-Seed-2.0-lite,2.4327731092436973,9.0,0.9438798074485389,0.9787279253249039
non_runtime_error,GLM-5,3.1313559322033897,3.0,0.9438798074485389,0.9787279253249039
non_runtime_error,GPT-5.4,3.592436974789916,2.0,0.9438798074485389,0.9787279253249039
non_runtime_error,GPT-5.6 Sol,3.9279661016949152,1.0,0.9438798074485389,0.9787279253249039
non_runtime_error,Kimi K2,2.638655462184874,8.0,0.9438798074485389,0.9787279253249039
non_runtime_error,MiniMax M3,3.0918367346938775,5.0,0.9438798074485389,0.9787279253249039
non_runtime_error,Qwen3-30B-A3B-Instruct-2507,2.3846153846153846,10.0,0.9438798074485389,0.9787279253249039
non_runtime_error,Qwen3.8-Max,3.076923076923077,6.0,0.9438798074485389,0.9787279253249039
common_closed_cases,DeepSeek-V3.2,2.7948717948717947,7.0,0.764093177458341,0.8936211492096949
common_closed_cases,DeepSeek-V4-Pro,2.9294871794871793,6.0,0.764093177458341,0.8936211492096949
common_closed_cases,Doubao-Seed-2.0-lite,2.2371794871794872,10.0,0.764093177458341,0.8936211492096949
common_closed_cases,GLM-5,3.0576923076923075,5.0,0.764093177458341,0.8936211492096949
common_closed_cases,GPT-5.4,3.5576923076923075,2.0,0.764093177458341,0.8936211492096949
common_closed_cases,GPT-5.6 Sol,3.7756410256410255,1.0,0.764093177458341,0.8936211492096949
common_closed_cases,Kimi K2,2.4871794871794872,8.0,0.764093177458341,0.8936211492096949
common_closed_cases,MiniMax M3,3.1858974358974357,3.0,0.764093177458341,0.8936211492096949
common_closed_cases,Qwen3-30B-A3B-Instruct-2507,2.371794871794872,9.0,0.764093177458341,0.8936211492096949
common_closed_cases,Qwen3.8-Max,3.0641025641025643,4.0,0.764093177458341,0.8936211492096949
leave_one_judge_out:DeepSeek-V4-Pro,DeepSeek-V3.2,2.7,5.0,0.7191465199607916,0.8632258720256917
leave_one_judge_out:DeepSeek-V4-Pro,DeepSeek-V4-Pro,2.7666666666666666,4.0,0.7191465199607916,0.8632258720256917
leave_one_judge_out:DeepSeek-V4-Pro,Doubao-Seed-2.0-lite,2.191666666666667,8.0,0.7191465199607916,0.8632258720256917
leave_one_judge_out:DeepSeek-V4-Pro,GLM-5,2.6166666666666667,6.0,0.7191465199607916,0.8632258720256917
leave_one_judge_out:DeepSeek-V4-Pro,GPT-5.4,3.2333333333333334,2.0,0.7191465199607916,0.8632258720256917
leave_one_judge_out:DeepSeek-V4-Pro,GPT-5.6 Sol,3.7416666666666667,1.0,0.7191465199607916,0.8632258720256917
leave_one_judge_out:DeepSeek-V4-Pro,Kimi K2,2.125,10.0,0.7191465199607916,0.8632258720256917
leave_one_judge_out:DeepSeek-V4-Pro,MiniMax M3,2.6,7.0,0.7191465199607916,0.8632258720256917
leave_one_judge_out:DeepSeek-V4-Pro,Qwen3-30B-A3B-Instruct-2507,2.158333333333333,9.0,0.7191465199607916,0.8632258720256917
leave_one_judge_out:DeepSeek-V4-Pro,Qwen3.8-Max,2.875,3.0,0.7191465199607916,0.8632258720256917
leave_one_judge_out:GLM-5,DeepSeek-V3.2,2.2916666666666665,6.0,0.8989331499509895,0.9726488698881033
leave_one_judge_out:GLM-5,DeepSeek-V4-Pro,2.408333333333333,4.0,0.8989331499509895,0.9726488698881033
leave_one_judge_out:GLM-5,Doubao-Seed-2.0-lite,1.7916666666666667,10.0,0.8989331499509895,0.9726488698881033
leave_one_judge_out:GLM-5,GLM-5,2.4833333333333334,3.0,0.8989331499509895,0.9726488698881033
leave_one_judge_out:GLM-5,GPT-5.4,3.0083333333333333,2.0,0.8989331499509895,0.9726488698881033
leave_one_judge_out:GLM-5,GPT-5.6 Sol,3.6333333333333333,1.0,0.8989331499509895,0.9726488698881033
leave_one_judge_out:GLM-5,Kimi K2,1.9916666666666667,8.0,0.8989331499509895,0.9726488698881033
leave_one_judge_out:GLM-5,MiniMax M3,2.283333333333333,7.0,0.8989331499509895,0.9726488698881033
leave_one_judge_out:GLM-5,Qwen3-30B-A3B-Instruct-2507,1.9,9.0,0.8989331499509895,0.9726488698881033
leave_one_judge_out:GLM-5,Qwen3.8-Max,2.375,5.0,0.8989331499509895,0.9726488698881033
leave_one_judge_out:GPT-5.5,DeepSeek-V3.2,2.975,8.0,0.9438798074485389,0.9848069807617046
leave_one_judge_out:GPT-5.5,DeepSeek-V4-Pro,3.325,4.0,0.9438798074485389,0.9848069807617046
leave_one_judge_out:GPT-5.5,Doubao-Seed-2.0-lite,2.6333333333333333,9.0,0.9438798074485389,0.9848069807617046
leave_one_judge_out:GPT-5.5,GLM-5,3.5083333333333333,3.0,0.9438798074485389,0.9848069807617046
leave_one_judge_out:GPT-5.5,GPT-5.4,3.816666666666667,2.0,0.9438798074485389,0.9848069807617046
leave_one_judge_out:GPT-5.5,GPT-5.6 Sol,4.016666666666667,1.0,0.9438798074485389,0.9848069807617046
leave_one_judge_out:GPT-5.5,Kimi K2,3.1,7.0,0.9438798074485389,0.9848069807617046
leave_one_judge_out:GPT-5.5,MiniMax M3,3.191666666666667,6.0,0.9438798074485389,0.9848069807617046
leave_one_judge_out:GPT-5.5,Qwen3-30B-A3B-Instruct-2507,2.533333333333333,10.0,0.9438798074485389,0.9848069807617046
leave_one_judge_out:GPT-5.5,Qwen3.8-Max,3.25,5.0,0.9438798074485389,0.9848069807617046
leave_one_judge_out:gpt-5.6-sol,DeepSeek-V3.2,3.5833333333333335,7.0,1.0,1.0
leave_one_judge_out:gpt-5.6-sol,DeepSeek-V4-Pro,3.783333333333333,4.5,1.0,1.0
leave_one_judge_out:gpt-5.6-sol,Doubao-Seed-2.0-lite,3.066666666666667,9.0,1.0,1.0
leave_one_judge_out:gpt-5.6-sol,GLM-5,3.808333333333333,3.0,1.0,1.0
leave_one_judge_out:gpt-5.6-sol,GPT-5.4,4.241666666666666,2.0,1.0,1.0
leave_one_judge_out:gpt-5.6-sol,GPT-5.6 Sol,4.275,1.0,1.0,1.0
leave_one_judge_out:gpt-5.6-sol,Kimi K2,3.283333333333333,8.0,1.0,1.0
leave_one_judge_out:gpt-5.6-sol,MiniMax M3,3.675,6.0,1.0,1.0
leave_one_judge_out:gpt-5.6-sol,Qwen3-30B-A3B-Instruct-2507,2.941666666666667,10.0,1.0,1.0
leave_one_judge_out:gpt-5.6-sol,Qwen3.8-Max,3.783333333333333,4.5,1.0,1.0
judge_only:DeepSeek-V4-Pro,DeepSeek-V3.2,3.25,8.0,0.8539864924534399,0.9544117035777013
judge_only:DeepSeek-V4-Pro,DeepSeek-V4-Pro,3.5083333333333333,4.0,0.8539864924534399,0.9544117035777013
judge_only:DeepSeek-V4-Pro,Doubao-Seed-2.0-lite,2.8,9.0,0.8539864924534399,0.9544117035777013
judge_only:DeepSeek-V4-Pro,GLM-5,3.725,3.0,0.8539864924534399,0.9544117035777013
judge_only:DeepSeek-V4-Pro,GPT-5.4,3.8916666666666666,1.0,0.8539864924534399,0.9544117035777013
judge_only:DeepSeek-V4-Pro,GPT-5.6 Sol,3.875,2.0,0.8539864924534399,0.9544117035777013
judge_only:DeepSeek-V4-Pro,Kimi K2,3.2916666666666665,7.0,0.8539864924534399,0.9544117035777013
judge_only:DeepSeek-V4-Pro,MiniMax M3,3.4166666666666665,5.0,0.8539864924534399,0.9544117035777013
judge_only:DeepSeek-V4-Pro,Qwen3-30B-A3B-Instruct-2507,2.7083333333333335,10.0,0.8539864924534399,0.9544117035777013
judge_only:DeepSeek-V4-Pro,Qwen3.8-Max,3.35,6.0,0.8539864924534399,0.9544117035777013
judge_only:GLM-5,DeepSeek-V3.2,4.208333333333333,7.0,0.4944132324730442,0.7173285415424762
judge_only:GLM-5,DeepSeek-V4-Pro,4.466666666666667,2.0,0.4944132324730442,0.7173285415424762
judge_only:GLM-5,Doubao-Seed-2.0-lite,4.225,6.0,0.4944132324730442,0.7173285415424762
judge_only:GLM-5,GLM-5,4.416666666666667,5.0,0.4944132324730442,0.7173285415424762
judge_only:GLM-5,GPT-5.4,4.458333333333333,3.0,0.4944132324730442,0.7173285415424762
judge_only:GLM-5,GPT-5.6 Sol,4.433333333333334,4.0,0.4944132324730442,0.7173285415424762
